region,weight
HexGrid_10308,0.0
HexGrid_10309,0.0
HexGrid_10310,0.013513513513513514
HexGrid_10311,0.013513513513513514
HexGrid_10312,0.013513513513513514
HexGrid_10313,0.0
HexGrid_10314,0.0
HexGrid_10315,0.0
HexGrid_10316,0.0
HexGrid_10317,0.0
HexGrid_10318,0.0
HexGrid_10319,0.0
HexGrid_10320,0.0
HexGrid_10321,0.0
HexGrid_10322,0.0
HexGrid_10323,0.013513513513513514
HexGrid_10324,0.04054054054054054
HexGrid_10325,0.05405405405405406
HexGrid_10326,0.013513513513513514
HexGrid_10327,0.0
HexGrid_10328,0.0
HexGrid_10329,0.013513513513513514
HexGrid_10330,0.0
HexGrid_10331,0.0
HexGrid_10332,0.0
HexGrid_10333,0.0
HexGrid_10334,0.0
HexGrid_10335,0.0
HexGrid_10336,0.0
HexGrid_10337,0.0
HexGrid_10338,0.013513513513513514
HexGrid_10339,0.02702702702702703
HexGrid_10340,0.04054054054054054
HexGrid_10341,0.0
HexGrid_10342,0.0
HexGrid_10343,0.0
HexGrid_10344,0.0
HexGrid_10345,0.0
HexGrid_10346,0.013513513513513514
HexGrid_10347,0.0
HexGrid_10348,0.0
HexGrid_10349,0.04054054054054054
HexGrid_10350,0.013513513513513514
HexGrid_10351,0.013513513513513514
HexGrid_10352,0.0
HexGrid_10353,0.0
HexGrid_10354,0.0
HexGrid_10355,0.0
HexGrid_10356,0.0
HexGrid_10357,0.0
HexGrid_10358,0.0
HexGrid_10359,0.0
HexGrid_10360,0.0
HexGrid_10361,0.013513513513513514
HexGrid_10362,0.05405405405405406
HexGrid_10363,0.013513513513513514
HexGrid_10364,0.0
HexGrid_10365,0.0
HexGrid_10366,0.0
HexGrid_10367,0.013513513513513514
HexGrid_10368,0.0
HexGrid_10369,0.0
HexGrid_10370,0.0
HexGrid_10371,0.0
HexGrid_10372,0.0
HexGrid_10373,0.0
HexGrid_10374,0.0
HexGrid_10375,0.0
HexGrid_10376,0.013513513513513514
HexGrid_10377,0.0
HexGrid_10378,0.0
HexGrid_10379,0.0
HexGrid_10380,0.0
HexGrid_10381,0.0
HexGrid_10382,0.0
HexGrid_10383,0.0
HexGrid_10384,0.0
HexGrid_10385,0.0
HexGrid_10386,0.0
HexGrid_10387,0.0
HexGrid_10388,0.0
HexGrid_10389,0.0
HexGrid_10390,0.0
HexGrid_10391,0.0
HexGrid_10392,0.0
HexGrid_10393,0.0
HexGrid_10394,0.02702702702702703
HexGrid_10395,0.0
HexGrid_10396,0.0
HexGrid_10397,0.0
HexGrid_10398,0.0
HexGrid_10399,0.0
HexGrid_10400,0.0
HexGrid_10401,0.0
HexGrid_10402,0.0
HexGrid_10403,0.0
HexGrid_10404,0.0
HexGrid_10405,0.0
HexGrid_10406,0.0
HexGrid_10407,0.0
HexGrid_10408,0.0
HexGrid_10409,0.0
HexGrid_10410,0.0
HexGrid_10411,0.0
HexGrid_10412,0.0
HexGrid_10413,0.013513513513513514
HexGrid_10414,0.0
HexGrid_10415,0.0
HexGrid_10416,0.0
HexGrid_10417,0.013513513513513514
HexGrid_10418,0.02702702702702703
HexGrid_10419,0.013513513513513514
HexGrid_10420,0.0
HexGrid_10421,0.0
HexGrid_10422,0.0
HexGrid_10423,0.0
HexGrid_10424,0.013513513513513514
HexGrid_10425,0.013513513513513514
HexGrid_10426,0.02702702702702703
HexGrid_10427,0.013513513513513514
HexGrid_10428,0.013513513513513514
HexGrid_10429,0.013513513513513514
HexGrid_10430,0.0
HexGrid_10431,0.0
HexGrid_10432,0.0
HexGrid_10433,0.013513513513513514
HexGrid_10434,0.05405405405405406
HexGrid_10435,0.0
HexGrid_10436,0.0
HexGrid_10437,0.0
HexGrid_10438,0.0
HexGrid_10439,0.0
HexGrid_10440,0.04054054054054054
HexGrid_10441,0.02702702702702703
HexGrid_10442,0.013513513513513514
HexGrid_10443,0.013513513513513514
HexGrid_10444,0.02702702702702703
HexGrid_10445,0.0
HexGrid_10446,0.0
HexGrid_10447,0.013513513513513514
HexGrid_10448,0.0
HexGrid_10449,0.0
HexGrid_10450,0.0
HexGrid_10451,0.0
HexGrid_10452,0.02702702702702703
HexGrid_10453,0.0
HexGrid_10454,0.02702702702702703
HexGrid_10455,0.013513513513513514
HexGrid_10456,0.0
HexGrid_10457,0.0
HexGrid_10458,0.0
HexGrid_10459,0.013513513513513514
HexGrid_10460,0.0
HexGrid_10461,0.0
HexGrid_10462,0.0
HexGrid_10463,0.0
HexGrid_10464,0.0
HexGrid_10465,0.0
HexGrid_10466,0.0
HexGrid_10467,0.0
HexGrid_10468,0.013513513513513514
HexGrid_10469,0.0
HexGrid_10470,0.013513513513513514
HexGrid_10471,0.0
HexGrid_10472,0.0
HexGrid_10473,0.0
HexGrid_10474,0.013513513513513514
HexGrid_10475,0.013513513513513514
HexGrid_10476,0.0
HexGrid_10477,0.0
HexGrid_10478,0.0
HexGrid_10479,0.013513513513513514
HexGrid_10480,0.0
HexGrid_10481,0.013513513513513514
HexGrid_10482,0.0
HexGrid_10483,0.0
HexGrid_10484,0.0
HexGrid_10485,0.0
HexGrid_10486,0.0
HexGrid_10487,0.013513513513513514
HexGrid_10488,0.0
HexGrid_10489,0.0
HexGrid_10490,0.0
HexGrid_10491,0.0
HexGrid_10492,0.013513513513513514
HexGrid_10493,0.0
HexGrid_10494,0.0
HexGrid_10495,0.0
HexGrid_10496,0.0
HexGrid_10497,0.0
HexGrid_10498,0.013513513513513514
HexGrid_10499,0.02702702702702703
HexGrid_10500,0.0
HexGrid_10501,0.0
HexGrid_10502,0.0
HexGrid_10503,0.0
HexGrid_10504,0.0
HexGrid_10505,0.0
HexGrid_10506,0.0
HexGrid_10507,0.013513513513513514
HexGrid_10508,0.013513513513513514
HexGrid_10509,0.0
HexGrid_10510,0.0
HexGrid_10511,0.013513513513513514
HexGrid_10512,0.013513513513513514
HexGrid_10513,0.02702702702702703
HexGrid_10514,0.02702702702702703
HexGrid_10515,0.013513513513513514
HexGrid_10516,0.0
HexGrid_10517,0.0
HexGrid_10518,0.013513513513513514
HexGrid_10519,0.013513513513513514
HexGrid_10520,0.04054054054054054
HexGrid_10521,0.013513513513513514
HexGrid_10522,0.06756756756756757
HexGrid_10523,0.0
HexGrid_10524,0.0
HexGrid_10525,0.0
HexGrid_10526,0.0
HexGrid_10527,0.0
HexGrid_10528,0.0
HexGrid_10529,0.013513513513513514
HexGrid_10530,0.02702702702702703
HexGrid_10531,0.04054054054054054
HexGrid_10532,0.0
HexGrid_10533,0.0
HexGrid_10534,0.0
HexGrid_10535,0.0
HexGrid_10536,0.0
HexGrid_10537,0.0
HexGrid_10538,0.013513513513513514
HexGrid_10539,0.0
HexGrid_10540,0.10810810810810811
HexGrid_10541,0.06756756756756757
HexGrid_10542,0.02702702702702703
HexGrid_10543,0.10810810810810811
HexGrid_10544,0.0
HexGrid_10545,0.0
HexGrid_10546,0.0
HexGrid_10547,0.0
HexGrid_10548,0.0
HexGrid_10549,0.0
HexGrid_10550,0.013513513513513514
HexGrid_10551,0.013513513513513514
HexGrid_10552,0.013513513513513514
HexGrid_10553,0.013513513513513514
HexGrid_10554,0.0
HexGrid_10555,0.013513513513513514
HexGrid_10556,0.0
HexGrid_10557,0.0
HexGrid_10558,0.0
HexGrid_10559,0.0
HexGrid_10560,0.0
HexGrid_10561,0.0
HexGrid_10562,0.0945945945945946
HexGrid_10563,0.013513513513513514
HexGrid_10564,0.02702702702702703
HexGrid_10565,0.12162162162162163
HexGrid_10566,0.12162162162162163
HexGrid_10567,1.0
HexGrid_10568,0.0
HexGrid_10569,0.0
HexGrid_10570,0.0
HexGrid_10571,0.0
HexGrid_10572,0.013513513513513514
HexGrid_10573,0.013513513513513514
HexGrid_10574,0.013513513513513514
HexGrid_10575,0.0
HexGrid_10576,0.013513513513513514
HexGrid_10577,0.0
HexGrid_10578,0.0
HexGrid_10579,0.02702702702702703
HexGrid_10580,0.013513513513513514
HexGrid_10581,0.013513513513513514
HexGrid_10582,0.04054054054054054
HexGrid_10583,0.0
HexGrid_10584,0.0
HexGrid_10585,0.0
HexGrid_10586,0.0
HexGrid_10587,0.013513513513513514
HexGrid_10588,0.013513513513513514
HexGrid_10589,0.0
